id;address_line_1;address_line_2;pincode;state;city;country
1;patiently nor;oof swill marten;however a beautifully;sharply blindfolded skewer;Orland Park;Heard Island and McDonald Islands
2;unimpressively;like;rank an;aside texture striped;Rogers;Gibraltar
3;rapidly yummy indeed;heist;strum;supposing;Lempiland;Saint Martin
4;treasury;armchair;pickup grimy;eyelashes absent;Fort Layneville;Malawi
5;crossly atop;really nor;that blackfish;although shakedown meanwhile;Port Orie;Jordan
6;near out wilted;ouch how;cylindrical reignite;lest;Nehastad;France
7;an;cocoon bah;serious since instead;clearly amidst;Annamaehaven;Guyana
8;knowledgeably er deputise;tell pleasant;apud heel;fat righteously;Quincy;Mali
9;happy;aha;admirable;posh;Gislasonfurt;Tokelau
10;between actualise;cirrus;impossible forenenst incidentally;noisily huzzah lightly;Columbus;Heard Island and McDonald Islands
